"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 02, 2018","950.04","953.33","953.33","946.82","94.54M","-0.51%"
"Oct 01, 2018","954.90","956.51","959.30","951.81","86.81M","0.28%"
"Sep 28, 2018","952.28","960.17","960.23","951.46","105.21M","-1.09%"
"Sep 27, 2018","962.73","961.12","966.68","961.12","86.99M","0.40%"
"Sep 26, 2018","958.91","957.59","963.22","957.54","88.35M","0.24%"
"Sep 25, 2018","956.61","963.41","965.60","956.61","84.23M","-0.35%"
"Sep 24, 2018","960.01","963.93","965.43","959.65","76.68M","-0.24%"
"Sep 21, 2018","962.34","963.39","965.43","961.62","193.28M","0.14%"
"Sep 20, 2018","960.95","960.71","962.44","957.39","83.69M","0.37%"
"Sep 19, 2018","957.42","960.29","961.11","957.36","90.48M","-0.28%"
"Sep 18, 2018","960.14","955.85","960.51","953.67","69.50M","0.71%"
